TYPE;UNIT_REFERENCE_NO;OPERATORE;ZONE_CD;GRID_SUPPLY_POINT_NO
Fossil Hard coal;UP_BRNDSSUDCE_1;Bilateralista;SUD;PSR_316
Fossil Hard coal;UP_BRNDSSUDCE_3;Bilateralista;SUD;PSR_316
Fossil Hard coal;UP_BRNDSSUDCE_4;Bilateralista;SUD;PSR_316
Fossil Coal-derived gas;UP_CAIRO_1;AXPO ITALIA SPA;NORD;PSR_186
Fossil Coal-derived gas;UP_CET2_1;AXPO ITALIA SPA;SUD;PSR_316
Fossil Hard coal;UP_FIUMESANT_3;EP PRODUZIONE SPA;SARD;PSR_69
Fossil Hard coal;UP_FIUMESANT_4;EP PRODUZIONE SPA;SARD;PSR_69
Fossil Hard coal;UP_FUSINA_T_3;Bilateralista;NORD;PSR_136
Fossil Hard coal;UP_FUSINA_T_4;Bilateralista;NORD;PSR_136
Fossil Coal-derived gas;UP_ISABENERGY_3;ISAB S.R.L.;SICI;PSR_293
Fossil Hard coal;UP_LAMARMORA_1;A2A SPA;NORD;PSR_213
Fossil Coal-derived gas;UP_LVTRNTCET3_1;AXPO ITALIA SPA;SUD;PSR_316
Fossil Hard coal;UP_MONFALCO_1;A2A SPA;NORD;PSR_283
Fossil Hard coal;UP_MONFALCO_2;A2A SPA;NORD;PSR_283
Fossil Coal-derived gas;UP_SARLUX_1;AXPO ITALIA SPA;SARD;PSR_70
Fossil Hard coal;UP_SULCIS_CEN_2;ENEL PRODUZIONE S.P.A.;SARD;PSR_71
Fossil Hard coal;UP_SULCIS_CE_3;Bilateralista;SARD;PSR_71
Fossil Hard coal;UP_TORREVALN_2;Bilateralista;CSUD;PSR_57
Fossil Hard coal;UP_TORREVALN_3;Bilateralista;CSUD;PSR_57
Fossil Hard coal;UP_TORREVALN_4;Bilateralista;CSUD;PSR_57
